Price,Close,High,Low,Open,Volume
Ticker,1113.HK,1113.HK,1113.HK,1113.HK,1113.HK
Date,,,,,
2015-06-01,44.9947395324707,51.50320572776606,43.89892567438803,46.48902977524648,249538100
2015-06-08,45.0279426574707,45.62565463002085,42.138980344721936,45.492830873210046,115842155
2015-06-15,44.164581298828125,44.82871034091577,42.86953169351822,44.49664581987195,63049704
2015-06-22,42.40462875366211,43.965330636954505,42.371422815742186,43.26799834028412,67310853
2015-06-29,42.5374641418457,43.50044915750286,41.840126670575266,42.40463530275022,45194969
2015-07-06,40.54507827758789,42.3714331777806,37.1580211124292,41.57447780555171,96922163
2015-07-13,44.72909164428711,44.82871201770699,40.013776282471795,40.17980854920404,53619569
2015-07-20,42.50425720214844,44.99474102258682,42.43784531365054,44.99474102258682,31307862
2015-07-27,42.90272521972656,43.16837778872978,41.80691407285228,42.17218445514371,35359023
2015-08-03,41.3752326965332,43.06876099671654,41.27561487502293,42.969140641755395,29334449
2015-08-10,39.41604995727539,41.40843669547197,39.18360585119942,40.81072219408344,40534590
2015-08-17,36.228233337402344,39.71491028848366,35.39807215857346,39.449260231328935,42624235
2015-08-24,34.93318176269531,35.862963306237376,33.27285938740654,35.19883435612187,80822539
2015-08-31,35.82976531982422,36.29465619480355,34.86677762167806,35.56411266742133,39989019
2015-09-07,38.85154342651367,39.01757566337912,35.69693092607026,36.19502763666659,63897671
2015-09-14,41.474857330322266,43.732894452370864,37.58970108778165,39.74812037804273,131856470
2015-09-21,37.6561164855957,41.07637946801816,37.19122565817823,41.07637946801816,84329854
2015-09-28,38.00846481323242,38.44265487424486,36.305095768114015,37.874866891317666,28806533
2015-10-05,38.27565002441406,39.74522175874057,37.94165656425658,39.41122829858308,26599506
2015-10-12,38.242252349853516,38.34245141021202,36.97307614342962,38.34245141021202,28166516
2015-10-19,38.74324417114258,38.776643009932364,37.40727023420663,38.309051622371165,16406595
2015-10-26,36.40528869628906,39.01043881492373,36.27169079694431,38.509448603506904,25438213
2015-11-02,35.269710540771484,37.03987698207606,34.96911590286739,35.9376974924837,23432660
2015-11-09,35.603702545166016,36.03789506510146,33.66654199416208,34.96911445763263,25768083
2015-11-16,35.77070617675781,35.9377029399996,34.534931148035916,34.73532675429239,17498283
2015-11-23,33.933738708496094,35.63710502969378,33.933738708496094,35.40331060159204,19290443
2015-11-30,34.969120025634766,35.73730612993813,33.66654735476044,34.26773415327899,27317469
2015-12-07,34.16753387451172,35.23631198659136,33.833540395965834,34.802119445214494,18058293
2015-12-14,34.00054168701172,34.5349308145921,33.466150011262975,33.666548163752935,23795424
2015-12-21,34.134132385253906,34.40132818655258,33.53294565458389,33.59974333082455,9387844
2015-12-28,33.666542053222656,34.601722219709565,33.432745100475,33.96713413106294,8844515
2016-01-04,32.230369567871094,33.63314111010712,30.4602031733737,33.46614437659483,21033962
2016-01-11,29.992612838745117,31.896374485079605,29.959211455200318,31.49558336422007,29035722
2016-01-18,26.686077117919922,30.25980600739703,26.318684833196595,29.458221219166635,48584548
2016-01-25,27.821657180786133,27.888454855784296,25.517101718997907,27.120268852465568,41731117
2016-02-01,26.85307502746582,27.955251930267142,26.318685994455972,27.92185309348551,34526594
2016-02-08,26.051488876342773,26.85307365909457,25.61729637580328,26.85307365909457,12419517
2016-02-15,27.587867736816406,27.721465671372414,26.251893487593637,26.31869372895597,23307276
2016-02-22,27.020071029663086,28.322646014304254,26.151688555958252,27.721456775802842,23594257
2016-02-29,30.4602108001709,30.560409884633845,26.519088431381554,26.9866799119277,61227927
2016-03-07,30.36001205444336,31.06139795013532,29.52502823857951,31.06139795013532,28647114
2016-03-14,31.26179313659668,32.09677694125027,30.29321141356485,30.727404011252055,48760761
2016-03-21,32.6645622253418,33.29914777670051,31.32858835188271,31.528983923267987,41954401
2016-03-28,32.998558044433594,33.93373829357387,32.56436548536152,32.66456455227604,22194489
2016-04-04,33.399349212646484,33.73334270477295,32.26377082978288,32.998558041361974,31143046
2016-04-11,34.56832504272461,34.73532178206145,33.09875322692687,33.33255019089925,24439481
2016-04-18,34.86891555786133,35.403304550882616,33.566340635506634,33.900334074665906,24879017
2016-04-25,35.57030487060547,36.73928202597748,34.26772981641449,34.43472655289621,31980397
