Price,Close,High,Low,Open,Volume
Ticker,0016.HK,0016.HK,0016.HK,0016.HK,0016.HK
Date,,,,,
2008-01-28,75.53617095947266,79.59836610533928,75.02196963817988,79.5469428347742,19115230
2008-02-04,71.73104858398438,77.2844216564777,69.98276810101684,76.61595870260696,41238647
2008-02-11,72.70805358886719,73.58220199046504,68.64586685357065,71.73107435260754,49965865
2008-02-18,67.87455749511719,74.09639507060461,65.81775272253788,73.8392944740322,53999818
2008-02-25,71.73104858398438,74.45631579832778,66.38336064518967,68.33731841577023,50325730
2008-03-03,64.78936004638672,70.8569366040756,63.24675623575847,69.31433279344735,52434262
2008-03-10,60.62431716918945,65.30354691129564,59.647334186695225,63.55526219362863,86884168
2008-03-17,55.8936882019043,61.96126602962508,55.0709667819706,58.6189570736702,59622855
2008-03-24,63.68980026245117,64.10404444599432,56.285212147663394,56.285212147663394,49318609
2008-03-31,68.76425170898438,69.33383036550651,61.825689535403804,62.60239416788244,38708394
2008-04-07,67.1590805053711,71.45684909645496,65.55389120707753,71.45684909645496,45178271
2008-04-14,65.76101684570312,67.72867089846193,63.741583254824455,65.5021152045783,30236454
2008-04-21,69.79988098144531,71.66396797556598,66.95196305335338,67.2626402685148,54191562
2008-04-28,72.90670776367188,73.010266845654,69.48920275090153,70.16234863536253,48010959
2008-05-05,70.11053466796875,74.82254590991184,69.28205447118681,73.47625472620008,43779334
2008-05-12,69.3338623046875,72.13000501030425,68.66072430062493,70.11056729496131,31288651
2008-05-19,64.10404968261719,69.12674007812056,63.58624638615186,68.8678384298879,55821674
2008-05-26,64.93254089355469,66.53773048878196,62.65420536297757,62.65420536297757,48125376
2008-06-02,65.60567474365234,66.17526151856568,61.6739971433595,63.79336324299315,30173737
2008-06-09,58.822471618652344,65.60569607990901,58.66713295267772,65.60569607990901,43961351
2008-06-16,59.961631774902344,61.87750266205248,58.66712335101003,58.97780458263894,41311175
2008-06-23,55.6120719909668,61.25612842436232,53.69619752155295,58.304647414895186,38765271
2008-06-30,54.31755828857422,56.44055068954379,52.55702655952931,56.233428612504675,37694239
2008-07-07,59.23667907714844,59.702702685945084,54.887131979253645,55.197813068276616,39239666
2008-07-14,57.890411376953125,59.28847872743341,55.14605226612802,59.28847872743341,33705844
2008-07-21,61.35968780517578,63.53445996995917,59.133132152710274,59.18491564039239,38645353
2008-07-28,61.10078430175781,62.03283174419815,58.718890110607916,61.359685930155095,18391662
2008-08-04,57.2172737121582,60.02894623449617,56.75124987824351,60.02894623449617,11685400
2008-08-11,56.906578063964844,60.47942128527674,55.87097156216575,58.36678307348054,11992400
2008-08-18,52.09100341796875,56.8547954375311,51.67676321008838,56.336992214786825,33493501
2008-08-25,55.71562576293945,56.85479521891154,51.88388113926076,51.88388113926076,32616329
2008-09-01,49.24308776855469,56.12987250155315,48.85473533512677,55.40494716904933,41729887
2008-09-08,49.45021438598633,52.194573413795815,47.09420782717674,51.573207093080626,53102035
2008-09-15,49.19131088256836,49.86445671696106,42.87411253891187,49.450212518792405,61291637
2008-09-22,44.24629592895508,51.26253310014498,44.168628584678814,48.242703498267744,44451073
2008-09-29,38.317447662353516,43.49548113023912,37.43718355302337,43.49548113023912,75591497
2008-10-06,30.2914981842041,37.79964730678461,30.136157562927483,36.40157974003187,79510018
2008-10-13,32.59571838378906,38.5763461502918,29.670128925910113,29.670128925910113,77203712
2008-10-20,31.87079429626465,36.76403611833507,31.793124982580856,33.24297192397433,56503268
2008-10-27,33.91611862182617,34.69282362843288,27.495356443772213,31.06820026426825,59717429
2008-11-03,35.728431701660156,38.006767266943704,32.10380819569463,35.08117750416631,42685016
2008-11-10,30.446836471557617,37.12649847652348,29.799582286468116,33.73281884132932,42286459
2008-11-17,26.92576789855957,30.70573107388177,25.165236130471808,29.825465189837885,61947186
2008-11-24,31.767227172851562,32.02612878624159,25.941940871575905,26.097283419819966,52011934
2008-12-01,29.07268714904785,34.53385538601892,28.5372785384119,32.17805668225203,48133290
2008-12-08,33.115020751953125,36.86288091335091,28.4301955502059,28.4301955502059,74843446
2008-12-15,37.478599548339844,39.084825243268696,33.21300001769435,33.21300001769435,71269885
2008-12-22,35.44404220581055,37.74630046377962,34.21260506711775,37.47859620517126,20758456
